GDBSNOMB,num_contenedores
IRPAVI BAJO,46
SAN MIGUEL,44
COTA COTA,37
MIRAFLORES,35
VILLA COPACABANA,35
ACHUMANI,33
PAMPAHASI ALTO,31
ALTO SOPOCACHI,31
OBRAJES,30
CHASQUIPAMPA,30
PURA PURA,30
SAN JORGE,30
COSMOS,29
SOPOCACHI,29
ALTO OBRAJES,28
LOS ANDES,27
ALTO SAN PEDRO,27
LA BARQUETA JARDIN,26
MESETA DE ACHUMANI,26
EL TEJAR,24
KOANI  ALTO IRPAVI,24
PAMPAHASI BAJO,23
VILLA SAN ANTONIO,23
VILLA SALOME,22
BARRIO PETROLERO,21
MIRAFLORES  CENTRO,19
MUNAYPATA,19
CALACOTO,18
MALLASILLA,18
MIRAFLORES BAJO,18
IRPAVI II,18
BAJO SEGUENCOMA,18
TEMBLADERANI,16
ACHACHICALA,16
VILLA VICTORIA,16
ALTO SEGUENCOMA,15
VILLA EL CARMEN,15
ALTO TEJAR,15
8 DE DICIEMBRE,14
MALLASA,13
PARQUE URBANO CENTRA,12
VILLA FATIMA,12
ALTO MIRAFLORES,12
BELEN,11
OBISPO INDABURU,10
AUQUISAMAÑA,10
BELLA VISTA,10
GRAN PODER,9
CIUDADELA FERROVIARIA,9
ROSARIO,9
BAJO SAN ANTONIO,8
SAN PEDRO,8
CHALLAPAMPA,7
VILLA NUEVO POTOSI,7
SANTA BARBARA,7
ARANJUEZ,7
LOS ROSALES,7
LA MERCED,6
VILLA PABON,6
LA FLORIDA,6
ALTO PURA PURA,5
IRPAVI I,5
TACAGUA,4
JUPAPINA,4
JARDIN DE LA REVOLUCION,4
AMOR DE DIOS,4
EL PRADO JARDIN,3
MARISCAL SANTA CRUZ,3
PARQUE ZOOLOGICO,3
COLMIL,3
PLAN AUTOPISTA,2
AGUA DE LA VIDA,2
23 DE MARZO,2
CASCO URBANO CENTRAL,2
18 DE MAYO,1
KOKENI LAS ROSAS,1
CHICANI,1
ESCOBAR URIA,1
